coordinate,version,jdk_lines,maven_probe_exit,note
org.apache.shardingsphere:shardingsphere-parser-sql-sql92,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.shardingsphere:shardingsphere-parser-sql-sqlserver,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.chromium.net:cronet-api,119.6045.31,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.chromium.net:cronet-common,119.6045.31,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.chromium.net:cronet-embedded,119.6045.31,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.chromium.net:cronet-fallback,119.6045.31,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:javax-websocket-client-impl,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:javax-websocket-server-impl,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:websocket-api,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:websocket-client,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:websocket-common,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:websocket-server,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.eclipse.jetty.websocket:websocket-servlet,12.1.8,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-content-spring-configurator,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-form-spring-configurator,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-admin-logic,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-idm-logic,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-modeler-conf,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-modeler-logic,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-modeler-rest,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flowable:flowable-ui-task-conf,7.2.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.flywaydb:flyway-database-postgresql,8.5.13,8,1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.lz4:lz4-java,1.8.1,"8,17,21",0,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.pac4j:pac4j-couch,6.5.3,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.pac4j:pac4j-gae,6.5.3,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.pac4j:pac4j-openid,6.5.3,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.snmp4j:snmp4j-agent-db,2.7.9,8,1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.terracotta:management-common-resources-v2,2.1.30.4.43,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
us.fatehi:schemacrawler-hana,16.9.5,8,1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
us.fatehi:schemacrawler-utility,17.11.3,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
